评价,评论类型,情感得分,置信度
之前买了奥尔良口味的 这次试试原味的 哈哈 味道还是一如既往的好 👍 用空气炸锅很方便 就是稍微时间长了点 这次烤的有点焦了 但是不妨碍它好吃！😘,正面,0.7525937919146387,0.7525937919146387
之前买烤肠送的鸡排被种**，空气炸锅烤出来又嫩又香，减肥人必备,正面,0.7216952205814462,0.7216952205814462
包装高大上，味道偏甜的，我不太喜欢,正面,0.6243616088597486,0.6243616088597486
包装严实，精美的手袋，两袋冰还没化，肉质鲜嫩，非常好吃，贵有贵的道理，高蛋白低脂肪。,正面,0.7303989648415496,0.7303989648415496
当天追评：冲着无抗买的，味道就是挺正常的味道，搞活动算下来一片不到十块，可能比较适合减肥或者健身的人,负面,0.327080732002869,0.672919267997131
鸡排很大个品质一如既往的好，是腌制好的，直接用空气炸锅加热了大概五分钟，味道比店里买的好吃，很方便,中性,0.5748926353898123,0.9251073646101877
包装很好很严实，顺丰快递。味道也很好吃很嫩没什么乱七八糟的添加。全家都很喜欢,负面,0.3252918650592997,0.6747081349407003
实在地说很好吃，一开始我只买他们家的烤肠，然后这次抱着试试鸡排的味道买了一次鸡排，首先很直观的感受就是他们家鸡排的肉质是很明显的比外卖买的要好很多很嫩，然后味道是刚刚够味，不会很咸也不会很淡，不需要加任何调料煎熟就可以了，所以非常满意下次还会回购,中性,0.5204513259023932,0.9795486740976068
昨天下单今天就到了，顺丰发货非常快，晚上就拿到进空气炸锅烤了吃，鸡排嫩嫩的超级好吃，喜欢😍,中性,0.5629348579980137,0.9370651420019863
好吃，方便，适合减脂的人群哦。,正面,0.6934241945901769,0.6934241945901769
锋味派收到打开冰袋都还没化，到货很快，包装完好，迫不及待吃上啦，很简单，直接放空气炸锅10-15分钟即可，这次入手的原味的，鸡排超级嫩，好吃！下次在试试其他口味,正面,0.7617083456293164,0.7617083456293164
锋味一如既往的高品质！一家三口的早餐妥妥的，宝贝很爱吃,正面,0.684367105159542,0.684367105159542
发货很快，包装也非常到位，在保温袋里加了冰袋。鸡排肉质鲜嫩，非常适合减脂人士。,正面,0.6956178968845368,0.6956178968845368
