Sample Preview - Chinese-English Product Reviews,,,,
id,category,zh_review,en_review,sentiment
id_001,smartphone,信号偶尔会跳格子，在地下停车场特别明显。,"The signal drops randomly, especially in underground parking lots.",negative
id_002,headphone,耳机戴着很舒服，长时间也不会觉得夹耳朵。,"These headphones are super comfy, even after wearing them for hours.",positive
id_003,headphone,反应还挺快的，就是有时候多任务处理会稍微卡一下。,"It's pretty responsive, though it lags a bit when I multitask too much.",neutral
id_004,smartphone,电池真的扛不住，每天都得充两次，有点烦。,"The battery just can't keep up—I have to charge it twice a day, kinda annoying.",negative
id_005,tablet,降噪功能真的香，坐地铁都能听得一清二楚！,The noise cancelling is amazing—I can hear everything clearly on the subway!,positive
id_006,smartphone,屏幕显示挺细腻的，看剧很有那味儿。,"The screen's super crisp, perfect for binge-watching shows.",positive
id_007,smartphone,蓝牙偶尔会断线，不过音质还不错。,"Bluetooth cuts off sometimes, but the sound quality's decent.",neutral
id_008,headphone,用了两个礼拜目前没发现啥毛病，挺顺手的。,"Been using it for two weeks—no issues so far, feels good in the hand.",positive
id_009,headphone,感觉续航时间没宣传的那么长，用一天就快没电了。,The battery doesn’t last as long as advertised—barely makes it through a day.,negative
id_010,headphone,包装特别精致，打开的时候还有种仪式感哈哈。,The packaging was so fancy—it felt like an unboxing ceremony haha.,positive
id_011,headphone,打游戏的时候发热有点明显，不过帧率还挺稳的。,"It heats up a bit when gaming, but the frame rate stays pretty stable.",neutral
id_012,tablet,拍照功能真的惊艳，尤其是夜景模式超出预期。,"The camera is seriously impressive, especially the night mode—totally exceeded my expectations.",positive
id_013,headphone,连手机有点慢，而且偶尔还要重连。,"Takes a while to connect to my phone, and sometimes I have to reconnect.",negative
id_014,headphone,系统很流畅，动画过渡也很自然，用着特别舒服。,"The system runs super smoothly, with natural transitions—feels great to use.",positive
id_015,headphone,主要拿来看网课，屏幕够大，字清楚，看久了眼睛也不累。,"I mainly use it for online classes—the screen is big and clear, and it doesn’t strain my eyes.",positive
id_016,headphone,耳机不太贴耳，有点容易掉，运动的时候不太稳。,They don’t fit snugly and tend to fall out—kinda unstable when working out.,negative
id_017,headphone,日常使用还行，就是偶尔会突然卡个一两秒。,"It’s fine for everyday use, but it randomly freezes for a second or two.",neutral
id_018,tablet,这个价位能买到这种配置，已经很值了。,"At this price, getting these specs is a total win.",positive
id_019,headphone,通话音质一般，对方老说听不清楚我讲话。,Call quality’s just so-so—people keep saying they can’t hear me clearly.,negative
id_020,headphone,颜色挺时尚的，手感也好，朋友都说好看。,The color is super trendy and it feels great—my friends all said it looks nice.,positive
id_021,smartphone,声音外放有点小，开最大音量也不够响。,"The speaker's kind of weak—even at max volume, it's not loud enough.",negative
id_022,headphone,蓝牙连接速度挺快的，几乎是秒连。,Bluetooth connects super fast—like almost instant.,positive
id_023,smartphone,偶尔会误触，可能是我手太大了哈哈。,Sometimes I tap the wrong thing by accident—maybe my fingers are just too big haha.,neutral
id_024,tablet,听低音特别爽，有那种震撼感。,The bass is awesome—it really hits hard.,positive
id_025,smartphone,触控反应稍慢一点，特别是画图的时候不够跟手。,"Touch response is a bit sluggish, especially when drawing—just not snappy enough.",negative
id_026,tablet,整体用起来还算顺畅，就是指纹解锁偶尔失灵。,"Overall it runs fine, but fingerprint unlock fails sometimes.",neutral
id_027,headphone,小巧便携，放包里一点不占地方。,Super compact—doesn’t take up any space in my bag.,positive
id_028,tablet,比我想象中轻，单手拿着刷剧一点都不累。,Lighter than I expected—watching shows one-handed is a breeze.,positive
id_029,smartphone,拍照有点偏色，肤色不太自然。,The photos come out kinda off—skin tones look unnatural.,negative
id_030,tablet,充电速度挺快的，充十几分钟就能听好久。,Charges fast—just a few minutes and it lasts for hours.,positive
id_031,tablet,系统挺纯净，没有乱七八糟的预装软件，喜欢！,"The system's clean, no bloatware at all—love that!",positive
id_032,smartphone,屏幕分辨率高，看图和刷视频都很舒服。,High-res screen—great for scrolling and watching videos.,positive
id_033,smartphone,有点漏音，开大点别人都听得到。,Leaks sound a bit—people around me can hear when it’s loud.,negative
id_034,tablet,处理器性能一般，不适合玩大型游戏。,The processor’s average—not great for heavy gaming.,neutral
id_035,smartphone,系统更新之后流畅了不少，值得一夸。,Got way smoother after the latest update—props for that.,positive
id_036,tablet,配对过程挺简单的，不用装App，插上就行。,"Super easy to pair—no app needed, just plug and play.",positive
id_037,smartphone,边框有点厚，看起来不太高级。,The bezels are kinda thick—doesn’t look very premium.,negative
id_038,headphone,外放音质不错，放歌都不用连音响了。,The speakers are solid—no need for extra speakers when I play music.,positive
id_039,smartphone,佩戴久了耳朵有点胀，不太适合长时间用。,My ears feel sore after a while—not ideal for long use.,negative
id_040,smartphone,支持手写笔，很适合做笔记或者画画。,Supports stylus—perfect for notes and doodles.,positive
