包装简陋,12,"包装极差，一个快递袋子里面全是散的小包装，大品牌差这么点包装袋钱","一个快递袋破了一片洞，没有内包装，里面都是灰，体验感很差，吃的东西都不能加个塑料袋","包装太简陋了吧，连内衬也没有，就都丢黑快递袋里装回来了"
味道奇怪,15,"不好吃，甚至有点难吃，口感很奇怪，有些发苦","味道一言难尽，吃起来感觉里面有**，和原来完全不一样，怀疑是不是盗版","奥尔良味道的吃起来有点苦味，然后肉香味一点没有，还有种像是油漆进嘴里的感觉"
腥味重,11,"有腥味，难以下咽","鸡胸肉超级腥，吃了一包吃到嘴里没滋没味的，闻了一下太腥了","黑椒味很难吃 扔了 另一个一般"
太咸,10,"黑椒的不错 但是太咸了","超级咸啊啊啊啊😭😭😭","齁齁咸，咸的跟咸菜似的"
肉质差,8,"口感味道：一般般根本就不是一整块鸡排全是小碎块拼接出来的","质地不太像鸡胸肉，更像是蟹柳鸡柳之类的合成肉","肉散的，吃起来又咸又腥"
数量不符,6,"给了13包少了两包，吃了三个来评价才注意到一共是15包","到的时候是破损件，两种各少一包","日期是4月份的，保质期6个月，还没有吃，看着不错，习惯好评"
变质,5,"拆开臭了发霉了","全臭了，发黑，因为之前买过没吃完，今天才吃，很无语","鸡肉发酸、发苦，还带点腥味"
发货慢,4,"发货速度太慢了，非拖到最后才发货……感觉就是故意的","味道还行，发货很慢","很好吃，回购三次了，就是发货很慢"
客服差,3,"客服告诉我是新包装，他们是官方店。但不给退款，态度恶劣","需要你领回来，发现数量不对了，主动去问才会告知你","服务态度也是一流哈"
假货,3,"购买了这家店的鸡肉，结果是假货，或是劣质产品","里面有异物，好歹是大牌子啊，可能是假货","贼难吃，假货，太难吃了"
